date,gdp_percap,treasury_yield,federal_funds_rate,consumer_price_index,inflation,unemployment_rate
2014-01-01,56345.0,2.86,0.07,233.916,1.62222297740827,6.6
2014-02-01,56345.0,2.71,0.07,234.781,1.62222297740827,6.7
2014-03-01,56345.0,2.72,0.08,236.293,1.62222297740827,6.7
2014-04-01,56968.0,2.71,0.09,237.072,1.62222297740827,6.2
2014-05-01,56968.0,2.56,0.09,237.900,1.62222297740827,6.3
2014-06-01,56968.0,2.60,0.10,238.343,1.62222297740827,6.1
2014-07-01,57536.0,2.54,0.09,238.250,1.62222297740827,6.2
2014-08-01,57536.0,2.42,0.09,237.852,1.62222297740827,6.1
2014-09-01,57536.0,2.53,0.09,238.031,1.62222297740827,5.9
2014-10-01,57702.0,2.30,0.09,237.433,1.62222297740827,5.7
2014-11-01,57702.0,2.33,0.09,236.151,1.62222297740827,5.8
2014-12-01,57702.0,2.21,0.12,234.812,1.62222297740827,5.6
2015-01-01,58121.0,1.88,0.11,233.707,0.118627135552451,5.7
2015-02-01,58121.0,1.98,0.11,234.722,0.118627135552451,5.5
2015-03-01,58121.0,2.04,0.11,236.119,0.118627135552451,5.4
2015-04-01,58376.0,1.94,0.12,236.599,0.118627135552451,5.4
2015-05-01,58376.0,2.20,0.12,237.805,0.118627135552451,5.6
2015-06-01,58376.0,2.36,0.13,238.638,0.118627135552451,5.3
2015-07-01,58486.0,2.32,0.13,238.654,0.118627135552451,5.2
2015-08-01,58486.0,2.17,0.14,238.316,0.118627135552451,5.1
2015-09-01,58486.0,2.17,0.14,237.945,0.118627135552451,5.0
2015-10-01,58470.0,2.07,0.12,237.838,0.118627135552451,5.0
2015-11-01,58470.0,2.26,0.12,237.336,0.118627135552451,5.1
2015-12-01,58470.0,2.24,0.24,236.525,0.118627135552451,5.0
2016-01-01,58704.0,2.09,0.34,236.916,1.26158320570527,4.8
2016-02-01,58704.0,1.78,0.38,237.111,1.26158320570527,4.9
2016-03-01,58704.0,1.89,0.36,238.132,1.26158320570527,5.0
2016-04-01,58787.0,1.81,0.37,239.261,1.26158320570527,5.1
2016-05-01,58787.0,1.81,0.37,240.229,1.26158320570527,4.8
2016-06-01,58787.0,1.64,0.38,241.018,1.26158320570527,4.9
2016-07-01,59084.0,1.50,0.39,240.628,1.26158320570527,4.8
2016-08-01,59084.0,1.56,0.40,240.849,1.26158320570527,4.9
2016-09-01,59084.0,1.63,0.40,241.428,1.26158320570527,5.0
2016-10-01,59296.0,1.76,0.40,241.729,1.26158320570527,4.9
2016-11-01,59296.0,2.14,0.41,241.353,1.26158320570527,4.7
2016-12-01,59296.0,2.49,0.54,241.432,1.26158320570527,4.7
2017-01-01,59494.0,2.43,0.65,242.839,2.1301100036598,4.7
2017-02-01,59494.0,2.42,0.66,243.603,2.1301100036598,4.6
2017-03-01,59494.0,2.48,0.79,243.801,2.1301100036598,4.4
2017-04-01,59736.0,2.30,0.90,244.524,2.1301100036598,4.4
2017-05-01,59736.0,2.30,0.91,244.733,2.1301100036598,4.4
2017-06-01,59736.0,2.19,1.04,244.955,2.1301100036598,4.3
2017-07-01,60099.0,2.32,1.15,244.786,2.1301100036598,4.3
2017-08-01,60099.0,2.21,1.16,245.519,2.1301100036598,4.4
2017-09-01,60099.0,2.20,1.15,246.819,2.1301100036598,4.3
2017-10-01,60674.0,2.36,1.15,246.663,2.1301100036598,4.2
2017-11-01,60674.0,2.35,1.16,246.669,2.1301100036598,4.2
2017-12-01,60674.0,2.40,1.30,246.524,2.1301100036598,4.1
2018-01-01,61093.0,2.58,1.41,247.867,2.44258329692807,4.0
2018-02-01,61093.0,2.86,1.42,248.991,2.44258329692807,4.1
2018-03-01,61093.0,2.84,1.51,249.554,2.44258329692807,4.0
2018-04-01,61336.0,2.87,1.69,250.546,2.44258329692807,4.0
2018-05-01,61336.0,2.98,1.70,251.588,2.44258329692807,3.8
2018-06-01,61336.0,2.91,1.82,251.989,2.44258329692807,4.0
2018-07-01,61622.0,2.89,1.91,252.006,2.44258329692807,3.8
2018-08-01,61622.0,2.89,1.91,252.146,2.44258329692807,3.8
2018-09-01,61622.0,3.00,1.95,252.439,2.44258329692807,3.7
2018-10-01,61619.0,3.15,2.19,252.885,2.44258329692807,3.8
2018-11-01,61619.0,3.12,2.20,252.038,2.44258329692807,3.8
2018-12-01,61619.0,2.83,2.27,251.233,2.44258329692807,3.9
2019-01-01,61889.0,2.71,2.40,251.712,1.81221007526012,4.0
2019-02-01,61889.0,2.68,2.40,252.776,1.81221007526012,3.8
2019-03-01,61889.0,2.57,2.41,254.202,1.81221007526012,3.8
2019-04-01,62331.0,2.53,2.42,255.548,1.81221007526012,3.7
2019-05-01,62331.0,2.40,2.39,256.092,1.81221007526012,3.6
2019-06-01,62331.0,2.07,2.38,256.143,1.81221007526012,3.6
2019-07-01,62945.0,2.06,2.40,256.571,1.81221007526012,3.7
2019-08-01,62945.0,1.63,2.13,256.558,1.81221007526012,3.6
2019-09-01,62945.0,1.70,2.04,256.759,1.81221007526012,3.5
2019-10-01,63257.0,1.71,1.83,257.346,1.81221007526012,3.6
2019-11-01,63257.0,1.81,1.55,257.208,1.81221007526012,3.6
2019-12-01,63257.0,1.86,1.55,256.974,1.81221007526012,3.6
2020-01-01,62333.0,1.76,1.55,257.971,1.23358439630638,3.6
2020-02-01,62333.0,1.50,1.58,258.678,1.23358439630638,3.5
2020-03-01,62333.0,0.87,0.65,258.115,1.23358439630638,4.4
2020-04-01,57383.0,0.66,0.05,256.389,1.23358439630638,14.8
2020-05-01,57383.0,0.67,0.05,256.394,1.23358439630638,13.2
2020-06-01,57383.0,0.73,0.08,257.797,1.23358439630638,11.0
2020-07-01,61803.0,0.62,0.09,259.101,1.23358439630638,10.2
2020-08-01,61803.0,0.65,0.10,259.918,1.23358439630638,8.4
2020-09-01,61803.0,0.68,0.09,260.280,1.23358439630638,7.8
2020-10-01,62411.0,0.79,0.09,260.388,1.23358439630638,6.8
2020-11-01,62411.0,0.87,0.09,260.229,1.23358439630638,6.7
2020-12-01,62411.0,0.93,0.09,260.474,1.23358439630638,6.7
2021-01-01,63224.0,1.08,0.09,261.582,4.69785886363742,6.4
2021-02-01,63224.0,1.26,0.08,263.014,4.69785886363742,6.2
2021-03-01,63224.0,1.61,0.07,264.877,4.69785886363742,6.1
2021-04-01,64153.0,1.64,0.07,267.054,4.69785886363742,6.1
2021-05-01,64153.0,1.62,0.06,269.195,4.69785886363742,5.8
2021-06-01,64153.0,1.52,0.08,271.696,4.69785886363742,5.9
2021-07-01,64611.0,1.32,0.10,273.003,4.69785886363742,5.4
2021-08-01,64611.0,1.28,0.09,273.567,4.69785886363742,5.1
2021-09-01,64611.0,1.37,0.08,274.310,4.69785886363742,4.7
2021-10-01,65648.0,1.58,0.08,276.589,4.69785886363742,4.5
2021-11-01,65648.0,1.56,0.08,277.948,4.69785886363742,4.1
2021-12-01,65648.0,1.47,0.08,278.802,4.69785886363742,3.9
2022-01-01,65284.0,1.76,0.08,281.148,8.00279982052121,4.0
2022-02-01,65284.0,1.93,0.08,283.716,8.00279982052121,3.8
2022-03-01,65284.0,2.13,0.20,287.504,8.00279982052121,3.6
2022-04-01,65127.0,2.75,0.33,289.109,8.00279982052121,3.7
2022-05-01,65127.0,2.90,0.77,292.296,8.00279982052121,3.6
2022-06-01,65127.0,3.14,1.21,296.311,8.00279982052121,3.6
2022-07-01,65469.0,2.90,1.68,296.276,8.00279982052121,3.5
2022-08-01,65469.0,2.90,2.33,296.171,8.00279982052121,3.6
2022-09-01,65469.0,3.52,2.56,296.808,8.00279982052121,3.5
2022-10-01,65799.0,3.98,3.08,298.012,8.00279982052121,3.6
2022-11-01,65799.0,3.89,3.78,297.711,8.00279982052121,3.6
2022-12-01,65799.0,3.62,4.10,296.797,8.00279982052121,3.5
2023-01-01,66096.0,3.53,4.33,299.170,4.11633838374488,3.4
2023-02-01,66096.0,3.75,4.57,300.840,4.11633838374488,3.6
2023-03-01,66096.0,3.66,4.65,301.836,4.11633838374488,3.5
2023-04-01,66357.0,3.46,4.83,303.363,4.11633838374488,3.4
2023-05-01,66357.0,3.57,5.06,304.127,4.11633838374488,3.7
2023-06-01,66357.0,3.75,5.08,305.109,4.11633838374488,3.6
2023-07-01,67050.0,3.90,5.12,305.691,4.11633838374488,3.5
2023-08-01,67050.0,4.17,5.33,307.026,4.11633838374488,3.8
2023-09-01,67050.0,4.38,5.33,307.789,4.11633838374488,3.8
2023-10-01,67513.0,4.80,5.33,307.671,4.11633838374488,3.8
2023-11-01,67513.0,4.50,5.33,307.051,4.11633838374488,3.7
2023-12-01,67513.0,4.02,5.33,306.746,4.11633838374488,3.7
2024-01-01,67672.0,4.06,5.33,308.417,4.11633838374488,3.7
2024-02-01,67672.0,4.21,5.33,310.326,4.11633838374488,3.9
2024-03-01,67672.0,4.21,5.33,312.332,4.11633838374488,3.8
2024-04-01,68070.0,4.54,5.33,313.548,4.11633838374488,3.9
2024-05-01,68070.0,4.48,5.33,314.069,4.11633838374488,4.0
2024-06-01,68070.0,4.31,5.33,314.175,4.11633838374488,4.1
2024-07-01,68070.0,4.25,5.33,314.175,4.11633838374488,4.3
